Enlem,Boylam,Cluster
40.0273,27.8486,1
39.8098,41.8358,0
36.5301,27.1325,1
37.1145,36.825,0
40.6428,26.0185,1
39.7855,43.4093,0
41.7556,25.2825,1
37.5048,30.4801,1
36.4768,35.9198,0
38.7113,43.4733,2
38.827,26.6258,2
37.7545,26.1648,2
37.8261,26.3701,1
37.3513,31.9035,2
37.4653,27.6611,1
40.7948,31.5633,0
37.3086,37.0956,1
38.0338,25.8873,2
37.8723,26.7765,2
37.798,26.991,1
36.6195,27.2963,1
37.1238,27.7668,1
37.6903,26.1361,2
36.903,27.5408,1
38.9508,26.0375,1
40.7933,31.9258,0
38.9863,30.1821,1
40.6848,30.3525,2
39.3825,34.1026,0
39.0336,41.3885,0
40.8651,28.3085,0
39.1031,29.0345,1
39.7298,30.7086,0
38.3296,38.7423,0
39.1455,41.1596,2
40.3848,26.9271,2
36.5681,27.2425,1
37.2006,37.1765,1
37.9318,27.1165,1
38.9581,26.1605,1
38.718,43.1515,0
37.8861,27.5693,2
36.854,28.2428,1
37.8791,29.2583,2
38.6403,43.164,0
35.1826,27.1188,1
39.0821,31.0636,0
36.9188,27.672,1
37.6521,36.286,1
39.8846,39.6521,1
40.6218,42.5518,2
37.215,28.6841,1
36.695,25.6513,1
37.4551,38.6076,0
40.8195,31.5378,1
39.7091,30.2393,0
38.1038,42.9161,0
41.1273,28.832,2
37.9293,29.2025,1
37.4563,27.6701,1
37.8123,27.0501,1
38.0216,26.8846,1
36.3548,28.7243,1
40.6795,42.9793,0
36.9235,27.3135,2
37.9411,27.1615,1
40.8008,31.0736,0
37.879,27.1345,1
38.9936,27.8738,0
40.8378,39.8865,0
38.8968,43.6248,0
40.2623,35.4263,0
40.1296,34.1808,0
37.0403,28.158,2
37.4828,27.0968,1
36.829,27.2123,1
38.5636,33.784,0
39.036,30.1418,1
38.4018,26.8671,1
40.6301,42.1215,0
35.292,25.601,1
37.8578,29.2671,2
37.432,30.3698,1
37.8331,27.0206,1
36.439,27.1903,1
39.5115,40.9213,0
39.124,33.9096,1
40.0955,43.2906,0
36.4788,27.1503,1
38.6941,39.97,1
36.5565,27.297,1
36.069,28.4968,2
40.0221,30.0325,0
39.5003,26.3303,1
36.5905,27.2056,1
36.985,28.511,2
41.0946,43.9158,0
36.5615,27.2953,1
38.516,39.1558,0
40.4466,33.2601,0
37.9475,27.1451,1
39.9411,34.5565,0
38.9288,26.1035,2
39.5708,38.1123,0
41.083,43.8566,0
41.385,43.8398,0
36.5888,27.2695,1
36.7028,27.5728,1
37.6873,25.9581,1
38.0265,31.3903,2
36.947,27.9193,1
39.8091,41.8356,0
38.3223,38.7741,2
39.572,41.2998,0
36.482,33.6335,1
39.0518,27.5538,2
36.6111,27.2628,1
38.0241,37.6446,1
34.824,33.068,0
41.1975,43.8455,1
37.4056,27.5663,1
40.604,35.3436,0
37.532,35.5528,1
37.984,38.0551,2
39.7725,41.0831,0
37.933,29.279,2
40.0485,40.5046,0
38.862,26.4705,2
37.0638,28.4601,1
37.8801,27.23,1
40.7005,27.3713,0
41.0438,32.1181,2
38.1428,42.498,2
35.925,26.039,1
38.459,39.2971,2
36.3316,26.8711,1
38.5723,43.1386,0
36.164,27.0886,1
37.4253,36.8658,1
40.1978,33.619,0
36.5155,27.0981,1
39.9878,26.09,2
39.0838,27.5338,1
38.9016,43.5906,2
38.6915,44.6631,1
40.0801,40.7748,0
36.4493,27.7695,1
40.698,29.7991,0
36.5505,27.1851,1
37.8428,26.4246,1
