EventID,Enlem,Boylam,Derinlik,Rms,Büyüklük,İl,Gün,Ay,Yıl,Saat,Dakika,Saniye
518017,39.081,27.3823,6.45,0.61,1.4,70,23,12,2021,13,19,15
518016,39.1221,34.2483,7.0,0.24,1.0,85,23,12,2021,13,14,30
518015,38.2671,38.8388,7.29,0.27,1.3,94,23,12,2021,13,06,53
518014,37.2858,31.8385,6.99,0.86,2.0,15,23,12,2021,12,35,26
518013,37.199,37.4405,7.02,0.78,2.3,54,23,12,2021,12,32,58
518012,37.2673,28.6883,7.0,0.44,1.5,100,23,12,2021,11,49,38
518011,39.3876,44.1278,7.0,0.29,1.4,37,23,12,2021,11,38,56
518010,39.3355,40.773,7.01,0.55,2.2,31,23,12,2021,11,02,40
518009,36.8501,38.9285,5.27,0.38,2.2,117,23,12,2021,10,37,35
518008,39.6805,30.0696,7.0,0.6,0.9,52,23,12,2021,10,19,29
518007,36.5575,30.6315,24.09,0.74,2.3,15,23,12,2021,09,40,57
518006,37.8621,26.982,7.82,0.49,2.3,70,23,12,2021,09,22,04
517994,37.8886,27.0625,7.04,0.63,1.8,70,23,12,2021,07,34,36
517993,38.9513,43.5111,4.44,0.38,2.1,135,23,12,2021,07,30,11
517995,38.0505,30.3836,6.94,0.37,1.9,67,23,12,2021,07,18,34
517996,36.5306,27.8465,7.07,0.22,1.9,100,23,12,2021,06,47,26
518003,40.1405,31.7888,6.86,0.58,1.5,14,23,12,2021,05,58,45
518002,38.1258,42.6001,7.0,0.63,1.7,32,23,12,2021,05,48,53
518001,38.2443,30.0048,6.16,0.4,1.8,41,23,12,2021,05,32,24
518000,38.25,30.0233,4.79,0.29,2.3,41,23,12,2021,05,24,12
518005,40.1595,31.7738,7.34,0.3,1.5,14,23,12,2021,04,41,05
518004,40.1381,28.8665,7.04,0.33,1.0,36,23,12,2021,04,40,59
517999,38.9043,43.5193,7.25,0.25,1.9,135,23,12,2021,04,22,00
517997,38.2453,30.0176,6.97,0.37,2.2,41,23,12,2021,03,58,06
517998,39.288,33.3441,6.95,0.53,2.2,14,23,12,2021,03,57,48
517992,39.1366,29.4588,8.37,0.47,2.4,89,23,12,2021,00,26,19
517990,39.1178,39.0151,7.0,0.49,1.3,133,22,12,2021,23,32,00
517991,37.8531,29.2768,7.01,0.49,1.7,41,22,12,2021,23,30,28
517989,40.4713,35.4281,6.28,0.39,0.8,12,22,12,2021,23,28,59
517988,36.0841,29.6051,23.59,0.25,2.2,15,22,12,2021,22,23,11
517987,40.4646,34.2536,7.02,0.64,2.3,144,22,12,2021,22,07,26
517986,37.845,26.9928,7.0,0.59,1.7,22,22,12,2021,17,58,41
517985,37.8331,26.886,7.0,0.34,1.8,22,22,12,2021,17,30,02
517984,38.9373,26.051,7.0,0.29,1.7,70,22,12,2021,17,09,41
517983,35.881,29.041,36.1,0.7,2.8,15,22,12,2021,15,11,14
517982,36.5238,38.616,6.55,0.9,1.8,23,22,12,2021,14,30,14
517980,38.5916,34.6998,6.5,0.22,1.5,102,22,12,2021,13,41,25
517981,40.1503,31.762,7.0,0.47,1.7,14,22,12,2021,13,41,15
517979,40.5976,35.3401,7.0,0.12,1.9,144,22,12,2021,13,33,33
517978,42.9551,27.6396,7.32,0.23,1.9,136,22,12,2021,13,20,17
517977,39.171,27.371,18.8,0.4,2.1,70,22,12,2021,12,35,09
517976,36.17,30.586,36.7,0.8,2.2,15,22,12,2021,12,22,37
517975,39.6216,41.2525,8.8,0.32,2.5,51,22,12,2021,11,44,32
517974,37.0805,37.0845,4.37,0.38,2.1,54,22,12,2021,11,44,21
517973,41.3088,43.8985,6.72,0.34,2.3,105,22,12,2021,10,40,21
517972,39.4048,37.0153,7.16,0.25,2.3,124,22,12,2021,10,02,59
517971,40.601,35.352,7.0,0.5,1.4,144,22,12,2021,09,43,01
517969,37.9051,27.1826,8.23,0.75,1.6,22,22,12,2021,08,41,11
517970,37.05,28.39,6.99,0.38,1.5,100,22,12,2021,08,38,30
517968,38.2015,38.6291,7.01,0.18,1.3,94,22,12,2021,08,09,10
517967,36.5315,27.1796,7.06,0.6,1.5,100,22,12,2021,07,19,14
517964,38.5861,31.744,6.98,0.32,1.5,87,22,12,2021,06,50,09
517965,38.2155,38.6116,7.23,0.21,2.2,94,22,12,2021,06,41,52
517963,36.1265,27.2896,14.29,0.48,2.2,100,22,12,2021,06,03,15
517962,37.6621,26.0273,6.96,0.46,1.9,70,22,12,2021,05,48,57
517958,39.8328,29.139,7.0,0.46,3.2,36,22,12,2021,05,28,11
517966,37.4643,27.4743,7.0,0.45,1.3,100,22,12,2021,04,17,09
517961,38.3818,38.9621,7.01,0.3,1.2,49,22,12,2021,04,11,58
517960,35.5915,27.872,39.96,0.29,2.4,139,22,12,2021,04,05,55
517959,37.3223,29.3241,6.98,0.3,1.6,41,22,12,2021,04,03,59
517953,39.6991,28.4068,5.57,0.46,1.8,26,22,12,2021,02,15,29
517954,37.8503,27.0138,7.0,0.32,1.1,22,22,12,2021,02,02,49
517955,39.7625,26.8508,7.02,0.97,1.4,142,22,12,2021,01,53,49
517957,36.9331,29.3486,7.0,0.25,1.1,41,22,12,2021,01,38,04
517956,35.3705,30.9221,20.28,0.94,2.6,15,22,12,2021,01,31,53
517952,40.8128,28.8033,15.11,0.58,2.5,68,22,12,2021,00,24,27
517950,37.8216,26.9593,7.0,0.22,1.7,22,21,12,2021,23,22,17
517951,37.881,26.9011,7.0,0.13,1.0,70,21,12,2021,23,15,03
517948,37.8286,27.131,7.0,0.33,1.0,22,21,12,2021,22,03,33
517949,38.0075,26.8026,5.73,0.27,0.8,70,21,12,2021,21,59,23
517947,39.0336,27.602,7.0,0.18,1.4,96,21,12,2021,20,51,21
517945,36.384,31.967,29.21,0.73,2.3,15,21,12,2021,20,16,25
517946,38.5898,31.686,7.0,0.43,1.3,87,21,12,2021,20,14,49
517944,38.9015,43.6015,15.5,0.25,2.7,135,21,12,2021,19,26,34
517943,38.4763,34.1268,7.13,0.4,1.4,9,21,12,2021,15,53,45
517942,37.7623,26.4005,7.0,0.9,1.7,70,21,12,2021,15,37,11
