@relation afad_deprem_listesi_-_Kopya_-_TR_2

@attribute Enlem numeric
@attribute Boylam numeric
@attribute Derinlik numeric
@attribute Büyüklük numeric

@data
40.7933,31.9258,10.18,2.4
36.3356,29.4996,7,1.2
36.29,29.4731,7.7,1.5
36.298,29.455,6.86,1.9
40.468,29.276,7.32,1.7
37.3623,28.0896,7,1.9
36.811,30.3816,21.32,2.5
37.5051,36.1813,15.93,2.4
37.0481,28.3643,7,1.6
38.2708,38.8435,4.91,1.8
36.946,27.7093,7.06,1.4
37.8331,35.1626,7,1.4
37.8668,32.0921,7.04,1.5
39.8153,41.8036,6.95,1.9
37.5661,30.4965,6.69,1.4
37.058,28.3606,7,1
39.8103,41.8063,7,1.6
37.3513,31.9035,7.03,1.9
38.645,26.6378,7,3.1
37.9083,27.145,7,3.3
37.053,28.3775,6.91,1.8
36.707,33.7845,18.9,2.3
39.01,27.8968,7.01,3.1
38.9966,27.8981,10.42,3.4
40.6161,36.6878,6.83,2
38.2713,38.769,6.95,2
37.1321,27.6016,6.96,1.4
37.0528,28.3873,6.87,1.7
37.0518,28.375,4.52,3
38.2778,38.729,7,1.5
38.2476,38.7515,7,1.3
37.8885,27.0758,7,1.4
39.3156,27.702,6.98,1.8
38.8671,31.0366,10.98,1.7
38.5231,29.1685,7,0.9
38.5056,29.1656,7,0.7
39.842,41.7753,7,1.3
38.2506,38.821,7,1
36.1973,35.9796,7.02,2.1
37.1673,37.4688,7.09,1.9
39.6475,30.0885,7,1
39.9935,41.7228,7,1.1
39.7091,30.2393,7,1.1
39.8808,41.7628,7,1.5
38.0811,27.2393,7,1.2
39.759,27.5623,7,0.9
40.4075,39.3175,7,1.3
37.0738,28.3503,7,1
41.942,33.6528,7.12,1.6
40.4748,34.2145,7.06,4.1
40.3981,26.1905,7,1.2
39.6271,38.6255,6.99,1.7
37.8403,27.0281,6.75,2.1
40.7965,31.3413,7,1.2
40.821,34.7881,7,1.6
40.8191,34.7555,7.01,1.8
37.8928,27.1048,6.95,1.9
38.3403,39.8281,3.16,1.5
38.9186,42.0281,7,1.4
39.0941,37.4208,7,1.2
37.4256,38.7771,6.99,1.3
39.3433,40.9013,7,1.2
37.0403,28.158,6.99,1.3
37.9605,28.9893,7,1.4
38.4143,26.7651,7,1.2
38.0165,27.0093,11.03,1.6
37.0561,35.7406,33.33,1.9
38.863,26.9528,7,1.5
38.0265,31.3903,6.96,1.9
37.8205,27.173,7.39,1.7
38.083,38.3493,4.17,1.6
39.0086,30.1531,6.98,2
37.0233,28.262,7.03,1.6
38.8371,26.9371,7,1.4
40.0295,40.0198,7.01,2.6
39.341,40.75,11.48,3.1
37.3865,27.5431,6.99,1.4
39.3235,41.2041,7,1.9
38.3761,39.7688,12.54,1.6
40.0205,28.879,24.11,1.7
37.925,37.9906,7,1.7
37.9311,37.993,7,1.3
39.3673,40.769,7.03,2.1
38.0176,30.2298,6.98,1.6
38.616,31.052,9.69,2
37.351,31.8415,6.55,1.6
39.0108,28.0425,7,2
39.0818,27.5093,7,1.4
40.0665,35.2428,6.97,1
37.5631,29.2218,7,1.4
39.5596,41.1185,7,1.5
37.7863,29.6853,7,1.2
38.9256,31.3951,7,1.7
36.734,33.8178,6.96,2.2
37.298,31.2948,7,2.3
38.903,43.5131,7.04,1.7
36.9736,28.528,7,1.3
36.9748,28.5371,7.01,2.5
39.0263,27.5345,6.07,1.5
37.8735,38.277,5.39,1.6
38.9586,42.031,6.98,2.5
38.9781,42.0243,7.01,3.4
37.921,26.9648,7,1.6
36.938,27.653,7,2.5
39.572,41.2998,7,2.3
40.421,35.2461,6.78,1.2
38.8363,41.8268,7.05,1.7
38.7445,41.8461,6.97,1.7
38.7676,43.2891,7,1.4
37.124,28.51,7,1.5
39.0685,28.5895,10.24,1.5
37.4475,32.707,7.2,1.7
38.602,30.355,20.4,1.7
36.985,28.511,16.8,1.8
39.152,37.2418,6.94,1.9
38.3046,38.3053,7.02,1.2
38.468,39.3423,7,1.3
38.7358,43.485,7.01,1.7
40.225,31.8651,6.84,1.8
38.5951,39.6206,6.96,1.9
37.6413,27.4398,7,1.4
37.7673,27.4095,14.16,1.5
38.7085,43.239,7.01,2.4
39.0111,33.4716,7.06,1.4
37.9203,29.2373,5.18,1.1
38.4758,29.1501,7,0.9
38.4815,29.174,7,0.9
40.8076,31.6035,13.8,1.2
39.0855,42.1121,7,1.4
40.842,31.6363,6.94,1
38.6151,39.6931,7.13,3
38.8021,35.1968,3.45,1.1
38.3296,39.0563,7,1.4
37.7793,29.7383,7,1.3
39.8695,31.9026,7.08,1.8
37.8871,27.0135,7,1.5
38.8685,43.6221,7.05,1.4
39.756,30.1646,7,1
38.459,39.2971,7,1.5
38.042,32.8455,7,1.2
40.8355,41.48,7,1.1
37.2471,32.1545,12.62,1.8
39.7945,29.0911,7,1.1
38.7513,43.7648,7.18,1.3
37.1156,37.1651,4.22,2
37.6583,36.4281,7,1.4
40.984,32.6925,7,1
38.9218,43.4906,6.64,1.2
39.5066,33.1068,7.13,1.5
40.6603,42.7796,7,1.4
38.4803,39.2878,7,1.2
39.0188,41.563,6.99,1.9
40.1863,31.7235,6.72,1.7
38.8828,43.5055,11,1.9
38.627,43.2131,7,1.3
38.2835,28.2706,7,1.4
38.305,38.7946,7.01,1.4
37.3943,29.0526,17.84,2.5
38.5748,39.641,6.98,3.6
38.4108,26.8303,7,1.8
37.0033,29.097,7,1.3
38.5843,39.6148,7,3.3
38.7498,43.2848,7.01,1.2
38.4931,34.1275,7.16,1.5
38.4108,29.1096,7,1.2
39.113,27.8748,7,1.4
37.8246,29.5708,7.03,1.3
39.9008,41.8668,7.15,1.3
39.5396,26.169,7.14,1.4
38.1181,38.0815,7,1.2
38.9016,43.5906,12.8,1.3
38.9296,41.9531,7.04,1.4
39.151,42.2695,6.94,1.8
39.2616,37.0805,7.28,1.5
40.7455,42.2175,7,1.3
38.5993,29.083,7.08,1
37.7365,27.528,7.13,1.9
37.7376,27.5313,7,1.5
37.768,29.2846,7,2.1
37.7525,29.2816,7,1.5
38.8933,43.5036,6.73,1.8
37.1873,28.3018,9.64,1.5
37.9491,28.8453,7,1.1
37.9386,29.2416,12.8,1.2
40.1043,40.9786,6.7,1.4
39.0705,28.9848,7.1,1.4
38.3391,39.1108,7,0.9
38.9046,43.5446,13.71,3
39.3538,38.8128,6.97,1.5
40.5228,35.467,7.02,2.3
37.1215,28.5335,7,1.6
37.4845,35.8423,16.62,2.5
37.4518,35.8895,18.62,3.3
38.28,38.8486,7,2
38.7828,31.1851,7,1.5
38.7763,31.1688,7,1.5
37.2635,30.5478,1.98,1.6
39.3571,40.6883,7,1.5
37.9513,26.9508,7.01,2.1
38.6706,33.8176,6.23,0.9
38.4025,39.0385,22.9,1.4
37.3145,31.9075,7.09,1.8
36.333,36.389,7,2.4
38.912,43.5393,15.82,1.7
37.9038,34.0501,7.89,2.2
39.963,39.1015,7.01,1.4
37.1616,30.6843,81.15,2.4
38.4271,39.2126,6.96,2.1
39.3146,43.84,6.9,2.7
38.2288,38.8173,7,0.7
38.437,39.243,7,1.2
38.9196,43.4713,5.99,1.2
37.8893,26.9831,7,1.7
37.9216,29.1936,7.02,1.3
38.1906,27.1951,7,1.5
40.8416,40.652,7.24,1.4
40.7938,31.7213,7.97,1.5
38.2031,38.6008,7.04,1.7
38.7751,31.1741,7.01,1.7
38.6318,30.789,7,1.9
37.2116,36.7796,7.14,2.1
37.807,29.6736,7,1.5
39.1276,42.4061,7,1.3
38.8948,31.4758,7,1.9
37.4248,29.422,7,1.5
36.5618,30.9045,55.43,2.2
38.26,38.8551,7,1.4
37.026,37.5698,9.02,1.5
38.6398,44.1506,6.5,1.7
36.885,34.0521,7.17,1.8
38.5681,43.0465,6.96,2.1
38.3571,42.8778,6.66,1.4
38.8936,43.544,9.39,1.7
38.4098,26.6596,7,1.6
39.8686,43.1248,6.97,1.3
38.2765,38.8438,7,1.2
41.0998,35.6751,13.16,1.8
36.9571,27.9761,7,2.3
38.2508,38.8098,6.95,1.4
38.759,31.1656,7,2
38.2395,38.8125,6.96,1.7
37.92,26.9483,7,2.2
37.5508,38.7951,6.95,1.9
37.4621,29.379,7,1.5
38.8776,43.4815,11.86,2
39.1241,37.2661,7,1.5
40.4306,33.3861,8.94,1
41.2306,33.3436,6.97,1.7
38.224,38.0648,7,1.1
37.2878,31.87,6.97,2
38.098,27.0916,7,2.3
37.468,29.358,7,2.3
38.9118,43.5343,16.45,1.9
38.4096,39.1631,16.6,1.9
38.1948,28.8733,7,1.1
40.6706,30.6081,7,1
39.9798,42.5696,7,2.3
36.9008,27.9958,7.11,1.6
37.1145,36.825,7.06,1.7
36.7731,29.103,7,1
37.5718,29.5003,7.16,1.6
37.9143,26.923,7,1.6
38.9036,43.4546,5.9,1.8
38.934,43.4906,9.23,1.8
38.6225,39.7483,6.9,1
38.4835,29.1753,7,1
37.8785,27.607,7,1.5
39.9321,39.1253,7.42,1.7
37.8215,27.1221,7,2.2
38.5766,31.4366,9.05,1.5
38.5658,31.4591,6.47,1.7
37.2798,37.4833,7.03,1.7
40.7918,41.5255,7,1
39.691,30.708,0.1,1.7
40.1796,29.1511,8.05,1.2
39.742,30.1661,7.1,1.2
40.2191,29.107,8.87,1.9
39.4381,27.999,7.02,1.7
37.0645,28.3868,7,1.1
40.2398,31.5513,7,1.3
40.326,27.0038,7.07,2.4
38.9091,43.3886,7,1.7
40.296,34.3323,7,0.9
38.551,39.568,7.02,1.2
37.2646,37.3773,7.14,1.3
38.5991,31.6401,6.98,1.9
38.7751,38.1895,7,1.4
38.7743,38.1578,7,1.8
37.917,27.1723,7.01,1.2
38.7631,38.1401,7.02,1.3
38.7683,38.1845,7.03,1.5
38.7765,38.1931,7,1.3
37.688,28.9396,6.83,1.1
39.85,39.0346,6.99,1.7
37.0193,38.8801,5.81,1.4
38.434,38.7378,7,1.4
38.7968,38.1101,17.51,2.8
39.868,39.0398,6.86,2.1
38.7696,38.1278,15.5,2.6
38.7601,38.154,7,1.8
38.7606,38.1715,7.01,1.4
38.7576,38.155,7.03,1.6
38.7866,38.123,19.9,3
40.5553,36.4826,7,1.4
38.7683,38.1773,7.06,1.5
38.7631,38.1898,7,1.2
38.7765,38.1651,7.01,1.7
38.7661,38.18,7.01,1.7
38.7863,38.159,12.1,2.8
38.7941,38.156,7.21,1.7
37.864,29.2398,11.3,1.6
37.3245,36.861,7,1.4
38.0283,27.1095,7.01,1.7
40.1745,27.3795,7.12,1.3
40.1735,27.4031,12.67,2.9
39.4046,27.901,7.01,1.4
36.9193,29.5828,7.13,1.4
39.3043,41.7476,7,1.8
37.8833,27.3715,9.9,1.3
37.0538,28.352,7,1.1
39.2603,40.6576,7,1.1
37.0368,28.3193,7,1.1
36.9181,29.3598,7,1.2
37.883,27.1445,7.01,1.4
38.1406,27.5838,7,1.2
40.7443,31.9298,7.32,1
38.0728,39.8786,6.92,1.2
38.8911,43.5416,9.93,1.3
38.5811,31.5995,8.54,1
38.585,31.611,7,1
38.7346,30.919,9.44,1.1
38.7511,30.9641,3.79,1
40.2251,34.1096,15.16,1.1
38.8331,31.3968,7,1.1
38.7991,30.4256,12.99,1.5
38.7681,38.1741,7,1.3
38.2825,38.8278,26.93,1
40.744,38.3736,10.72,1.2
37.8991,27.1563,6.95,1.4
38.3505,39.0806,7.09,1.7
36.9101,29.1381,7,1.3
37.5573,29.4983,7.34,1.7
38.5946,28.0691,6.95,1.5
40.1615,27.4028,7,1.3
38.262,37.5201,7,1.5
37.0928,28.4438,7,1.5
39.8983,42.6653,7.51,1.2
37.1946,28.6566,6.99,1.8
39.1678,40.2168,7.16,1.4
38.6526,43.1521,6.98,1.2
38.47,30.5216,6.62,1.5
39.9918,38.7595,6.93,1.4
38.8375,31.3911,7,1.1
38.7266,30.9631,8.22,1.4
39.0066,32.8096,7.35,1.2
38.8326,31.3883,6.99,1.7
37.5743,29.5091,7,1.2
37.132,36.7991,11.07,2.4
39.7346,30.1915,7,0.7
38.8053,38.1568,7,1.8
39.023,43.564,4.5,1.4
38.9121,43.5095,7.26,1.3
40.7691,41.471,7,1.4
40.3861,33.6231,7,1.2
38.9175,43.4848,6.96,1.5
39.547,28.0238,7,1.3
39.6561,30.0668,7,1
38.6986,34.6951,7,1.5
38.7563,38.1868,7,1.5
38.0853,32.6996,7,1.1
40.0116,28.8545,19.83,1.2
38.2665,38.8533,7,1
39.7755,30.1778,7,1.2
39.8485,33.0743,7,1.9
38.614,30.358,14.4,1.3
37.8836,29.0398,6.57,1.8
37.879,29.244,4.8,2
40.1436,31.8006,13.49,2.2
37.5556,29.5086,7,1.9
37.8578,29.2671,7,1.5
38.7738,38.2028,7,1.5
38.7651,38.1511,7,2.1
38.739,42.183,7,1.4
39.8008,41.8316,7.01,1.8
38.9033,43.5128,7.02,2.2
38.8815,27.1901,7,1.5
39.3711,39.1888,7.01,1.7
39.5133,38.115,6.99,2
38.8888,43.492,7.09,1.9
38.904,43.5035,7.32,1.7
39.9526,33.2271,7,1.3
38.9095,43.5106,7.05,1.8
38.8695,43.4701,7.09,2.1
40.2256,43.28,7,1.3
37.903,29.2931,7,2.2
39.811,33.014,7,1.3
38.9346,43.4403,5.2,1.8
38.9015,40.0073,7,1.5
39.3771,37.3123,7,2.5
38.9535,43.5311,7.75,2.5
38.9201,43.5031,6.83,1.6
38.1156,27.4255,5.66,3.2
38.91,43.5813,15.38,2.7
37.8311,27.171,7,1.8
38.8655,43.5195,7,1.1
38.9176,43.4775,11.96,2.7
37.8016,27.1135,7,3.7
36.9115,27.5955,7,1.8
40.6626,29.3511,7,1.1
38.8856,43.5268,7,1.8
38.0368,38.1848,7,1.8
37.5693,29.4915,7,1.5
37.6253,35.638,6.93,1.5
40.4331,32.1463,7,1.9
40.5353,33.0223,6.77,1.5
39.8661,40.7843,7,2.8
38.873,29.1953,7,1.7
38.8983,43.5095,6.98,1.6
37.2533,37.0196,7,1.4
38.9091,43.4586,7.6,1.8
38.8943,43.5201,7.05,1.9
38.8913,43.489,7,2.6
38.9081,43.471,7.48,1.9
40.7765,36.2176,7.03,1.8
40.274,31.397,7,1.4
37.6,29.4881,7,1.3
39.5318,33.095,3.29,1.1
38.9371,43.4071,7,1.5
39.693,28.4025,4.11,2.6
38.9281,43.5425,16.16,2.9
39.7371,40.7673,7,1.9
38.4433,29.1068,7,1.1
38.4826,29.1343,7,1.3
38.8925,43.5095,6.83,1.4
38.0303,29.0421,6.31,1.2
39.9658,33.5083,6.93,1.3
38.8918,43.558,0,2.7
38.6213,28.362,7.01,2.1
40.6898,34.0546,7,1.1
39.8941,42.5745,4.36,1.8
38.9003,43.817,6.51,2.3
40.1766,33.959,7,1.3
38.983,43.579,16.17,1.8
37.3281,37.1198,7.42,1.7
37.1546,37.0648,7,1.1
