Enlem,Boylam,Derinlik,Büyüklük,Gün,Ay,Yıl,Saat,Dakika,Saniye
37.8531,29.2768,7.01,1.7,22,12,2021,23,30,28
40.4713,35.4281,6.28,0.8,22,12,2021,23,28,59
36.0841,29.6051,23.59,2.2,22,12,2021,22,23,11
40.4646,34.2536,7.02,2.3,22,12,2021,22,7,26
37.845,26.9928,7,1.7,22,12,2021,17,58,41
37.8331,26.886,7,1.8,22,12,2021,17,30,2
38.9373,26.051,7,1.7,22,12,2021,17,9,41
35.881,29.041,36.1,2.8,22,12,2021,15,11,14
36.5238,38.616,6.55,1.8,22,12,2021,14,30,14
38.5916,34.6998,6.5,1.5,22,12,2021,13,41,25
40.1503,31.762,7,1.7,22,12,2021,13,41,15
40.5976,35.3401,7,1.9,22,12,2021,13,33,33
42.9551,27.6396,7.32,1.9,22,12,2021,13,20,17
39.171,27.371,18.8,2.1,22,12,2021,12,35,9
36.17,30.586,36.7,2.2,22,12,2021,12,22,37
39.6216,41.2525,8.8,2.5,22,12,2021,11,44,32
37.0805,37.0845,4.37,2.1,22,12,2021,11,44,21
41.3088,43.8985,6.72,2.3,22,12,2021,10,40,21
39.4048,37.0153,7.16,2.3,22,12,2021,10,2,59
40.601,35.352,7,1.4,22,12,2021,9,43,1
37.9051,27.1826,8.23,1.6,22,12,2021,8,41,11
37.05,28.39,6.99,1.5,22,12,2021,8,38,30
38.2015,38.6291,7.01,1.3,22,12,2021,8,9,10
36.5315,27.1796,7.06,1.5,22,12,2021,7,19,14
38.5861,31.744,6.98,1.5,22,12,2021,6,50,9
38.2155,38.6116,7.23,2.2,22,12,2021,6,41,52
36.1265,27.2896,14.29,2.2,22,12,2021,6,3,15
37.6621,26.0273,6.96,1.9,22,12,2021,5,48,57
39.8328,29.139,7,3.2,22,12,2021,5,28,11
37.4643,27.4743,7,1.3,22,12,2021,4,17,9
38.3818,38.9621,7.01,1.2,22,12,2021,4,11,58
35.5915,27.872,39.96,2.4,22,12,2021,4,5,55
37.3223,29.3241,6.98,1.6,22,12,2021,4,3,59
39.6991,28.4068,5.57,1.8,22,12,2021,2,15,29
37.8503,27.0138,7,1.1,22,12,2021,2,2,49
39.7625,26.8508,7.02,1.4,22,12,2021,1,53,49
36.9331,29.3486,7,1.1,22,12,2021,1,38,4
35.3705,30.9221,20.28,2.6,22,12,2021,1,31,53
40.8128,28.8033,15.11,2.5,22,12,2021,0,24,27
37.8216,26.9593,7,1.7,21,12,2021,23,22,17
37.881,26.9011,7,1,21,12,2021,23,15,3
37.8286,27.131,7,1,21,12,2021,22,3,33
38.0075,26.8026,5.73,0.8,21,12,2021,21,59,23
39.0336,27.602,7,1.4,21,12,2021,20,51,21
36.384,31.967,29.21,2.3,21,12,2021,20,16,25
38.5898,31.686,7,1.3,21,12,2021,20,14,49
38.9015,43.6015,15.5,2.7,21,12,2021,19,26,34
38.4763,34.1268,7.13,1.4,21,12,2021,15,53,45
37.7623,26.4005,7,1.7,21,12,2021,15,37,11
37.9033,27.0106,6.51,1.7,21,12,2021,15,1,35
39.4293,26.235,6.84,1.8,21,12,2021,14,25,16
35.3568,27.6625,16.69,2.5,21,12,2021,13,52,36
40.1856,27.2386,7,1.5,21,12,2021,13,32,30
37.9018,27.1953,7,1.2,21,12,2021,13,6,28
40.4036,26.2051,7,1.1,21,12,2021,12,31,37
38.2925,26.6605,7,1,21,12,2021,12,8,50
38.2648,38.0835,7,1.5,21,12,2021,12,5,38
39.613,41.2405,7,1.9,21,12,2021,11,49,16
37.5678,29.4828,2.45,1.8,21,12,2021,10,28,18
37.0111,29.7251,7,1.1,21,12,2021,10,4,17
40.6081,35.3578,6.99,1.1,21,12,2021,9,49,10
40.6086,35.3561,7,1,21,12,2021,9,43,23
40.604,35.3436,6.99,3.3,21,12,2021,8,58,11
40.8543,27.9881,6.79,1.6,21,12,2021,8,42,56
40.5016,35.4381,6.86,1.5,21,12,2021,8,34,38
36.9906,29.671,7,1.6,21,12,2021,5,26,24
37.5678,36.3343,13.03,1.6,21,12,2021,4,38,18
40.6096,35.3531,6.98,2,21,12,2021,4,36,18
40.8013,28.1101,7,1.8,21,12,2021,4,34,58
36.2116,27.1711,7.64,1.5,21,12,2021,4,3,54
40.6126,35.3458,7.2,1.8,21,12,2021,3,52,44
40.607,35.3565,7,2.5,21,12,2021,3,28,45
38.1396,38.7655,10.55,2.7,21,12,2021,3,11,45
36.2243,36.0085,7.05,2.1,21,12,2021,2,30,47
39.7855,43.4093,7,1.3,21,12,2021,2,28,3
37.0473,28.3783,7,1.5,21,12,2021,2,20,20
39.7838,43.3948,7,1.8,21,12,2021,1,49,5
36.04,29.0715,6.55,2,21,12,2021,1,9,32
37.4983,37.06,8.33,1.6,21,12,2021,1,0,48
40.5818,29.0931,6.92,1.4,21,12,2021,0,29,4
39.8211,43.4123,7,1.7,21,12,2021,0,20,52
37.845,26.727,7,1.8,20,12,2021,23,33,4
36.8893,27.6463,7,2.1,20,12,2021,23,11,11
35.834,29.3206,13.91,1.9,20,12,2021,22,47,35
41.015,39.1281,34.01,1.9,20,12,2021,22,38,27
40.4613,34.2216,6.99,3.6,20,12,2021,22,21,29
39.8871,40.0548,6.97,1.5,20,12,2021,21,26,23
39.9088,40.0466,7,1.6,20,12,2021,21,18,46
38.6766,44.6835,5.1,2.5,20,12,2021,21,7,32
40.4868,34.2503,7.08,3.5,20,12,2021,20,49,9
36.9138,27.3075,7.36,2.5,20,12,2021,20,16,47
38.6791,44.691,6.55,2.3,20,12,2021,19,32,8
36.9145,27.3063,5.89,2.6,20,12,2021,18,32,22
38.5843,44.5268,7.03,2.2,20,12,2021,18,23,7
38.6101,44.4911,12.27,2.6,20,12,2021,18,20,53
38.6733,44.6161,7.01,2.1,20,12,2021,18,19,29
36.9235,27.3135,7,1.7,20,12,2021,17,49,57
38.9748,32.93,6.72,1.5,20,12,2021,17,23,47
37.853,26.8726,7,1.1,20,12,2021,16,50,52
36.6311,27.8918,31.38,2.1,20,12,2021,16,20,57
38.4943,29.1643,7,0.9,20,12,2021,16,9,5
38.4811,29.144,7,1.1,20,12,2021,16,6,43
37.4676,32.5071,6.97,1.5,20,12,2021,15,11,7
40.6345,27.4111,7.02,2,20,12,2021,14,42,0
40.909,31.6843,7,1.6,20,12,2021,14,30,20
36.5761,28.0415,6.9,2.7,20,12,2021,14,5,20
39.456,33.3933,6.93,0.8,20,12,2021,12,54,38
37.532,30.2521,6.91,1.5,20,12,2021,12,11,6
36.4483,28.7765,8.77,1.5,20,12,2021,11,18,17
37.8543,29.2441,8.6,0.9,20,12,2021,10,54,28
37.853,29.243,9.3,1.4,20,12,2021,10,54,1
40.6515,42.5351,5.75,1.3,20,12,2021,10,49,54
39.9365,27.2398,12.68,1.2,20,12,2021,10,49,15
37.5408,32.6605,7.01,1.2,20,12,2021,10,47,37
37.5313,32.6126,7,1.4,20,12,2021,10,38,10
37.0986,38.7531,6.52,2,20,12,2021,10,16,47
34.7803,26.2243,5.98,2.8,20,12,2021,9,49,30
38.0338,25.8873,7,1.4,20,12,2021,9,37,38
38.267,38.7706,7.08,2.1,20,12,2021,9,20,35
37.8918,27.636,7,1.4,20,12,2021,8,50,19
37.8801,27.6073,7.01,1.6,20,12,2021,7,5,2
